6/12 0:57:40|Utils|generateUrlInfoListDetail|URL = https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:40|Utils|generateUrlInfoListDetail|Setting url info object =https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:40|Utils|filterPath|path = https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:40|Utils|getFileName|path = https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:40|Utils|getFileName|filename for dump = en-us-8-0.bdic_cms_redirect=yes_mip=182.71.119.213_mm=28_mn=sn-ci5gup-qxa6_ms=nvh_mt=1560324178_mv=u_pl=24_shardbypass=yes
6/12 0:57:40|Utils|filterPath|path = https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:40|Utils|generateUrlInfoListDetail|URL = http://10.10.30.2:81/tours/index.htm
6/12 0:57:40|Utils|convertToSecond method called|time = 1.379999999999999
6/12 0:57:40|Utils|generateUrlInfoListDetail|ScriptparsingData =http://10.10.30.2:81/tours/index.htm
6/12 0:57:40|WebCFormattor|generateEventsForFlow|method called.
6/12 0:57:40|WebCGenerator|generate|method called.
6/12 0:57:40|WebCGenerator|generate|Putting header comments in Buffer.
6/12 0:57:40|WebCGenerator|generate|Processing URLs with list size=1
6/12 0:57:40|Utils|getTimeStampForPage|Method called.
6/12 0:57:40|WebCGenerator|getValidURL|Since this URL is not in filtered list, returning the URL=https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:40|Utils|getTimeStampForPage|Method called.
6/12 0:57:40|WebCGenerator|getUrlReqAndResDetails|method called.
6/12 0:57:40|WebCGenerator|appendRealBrowserData|method called. The isRealBrowser value = false
6/12 0:57:40|WebCGenerator|generate|Adding Inline template to the page.
6/12 0:57:40|WebCGenerator|appendHeadersAndEndline|method called.
6/12 0:57:40|WebCGenerator|getUrlReqAndResDetails|method called.
6/12 0:57:40|Utils|convertToSecond method called|time = 17.483
6/12 0:57:41|ChromeMainFrame|addBrowserDisposeListener|browser disposed Exiting.
6/12 0:57:43|ScriptHTMLStart|stopRecording|Method Called.
6/12 0:57:43|ScriptHTMLStart|stopRecording|Going to stop recording
6/12 0:57:43|NSChromeBrowser|stopRecord|Method called.
6/12 0:57:43|ScriptHTMLStart|stopRecording|Going to upload script to server.
6/12 0:57:45|ScriptRecordUtils|saveScriptToServer|method called.
